,Question,Right answer
587,"Kevin ""Jack"" Haugrud was the acting United States Secretary of the Interior, serving since the end of the Obama administration on January 20, 2017 until the swearing in of Ryan Zinke, an American politician and businessman, on which date?","March 1, 2017"
588,Puklo srce is an album by a singer who lives where?,Belgrade
589,Hall of Fame Racing is a team created by a joint venture of a number of players including the quarterback who was the #1 overall draft pick in what year?,1989
590,Who administers the federal law that the California Healthy Families Program implements?,the United States Department of Health and Human Services
591,Cyril Briggs was dedicated to advancing what worldwide intellectual movement that aims to encourage and strengthen bonds of solidarity between all people of African descent,Pan-Africanism
592,When was the host that Renee Montagne succeeded born?,"May 16, 1947"
593,"A combat flight simulator video game published by Konami and released in 2012 features missions including the attack on this location by the Empire of Japan on December 7, 1941?",Pearl Harbor
594,In what year did the submarine that sank the Tsushima Maru open to public tours?,1981
595,"Where are the metalcore band from, that released second full-length album titled Rage?","Atlanta, Georgia"
596,"The actress that plays Amber in the sitcom ""The Old Guys"" received a BAFTA TV Award in 2014 for her role in what tv show?","""The IT Crowd"""
597,What song recorded by Fergie was produced by Polow da Don and was followed by Life Goes On?,M.I.L.F. $
598,"Which magazine is published in the United Kingdom, Bella or Al Jamila?",Bella
599,"Who owns a licensed brand that seeks to engage the private sector in raising awareness and funds to help eliminate HIV/AIDS in eight African countries, who's partner is a Dutch sports and clothing company, which sells alpine sking and tennis equipment?",RED
600,Them Crooked Vultures and The Vines are both part of what music genres?,Rock
601,Who was the former wife of the American musician who led the band Kings of Rhythm?,Tina Turner
602,Are Mary Doria Russell and James Joyce both novelists?,yes
603,"James Clark McReynolds (February 3, 1862 – August 24, 1946) was an American lawyer and judge who served as United States Attorney General under President Woodrow Wilson and as an Associate Justice of the United States Supreme Court, he served on the Court, during the presidency of which 30th President of the United States (1923–29)?",John Calvin Coolidge Jr.
604,Which star in The Pokrovsky Gate was also a director and occasional singer?,Oleg Menshikov
605,Who directed the movie that Olympia Dukakis won an Academy Award for?,Norman Jewison
606,"Skyler Elizabeth Day (born August 2, 1991) is an American actress and singer, best known for her recurring roles as Maggie Ritter on the series ""Gigantic"", on TeenNick is an American digital cable and satellite television channel that is owned by Nickelodeon Group, a unit of the Viacom Media Networks division of Viacom, aimed primarily at teenagers aged what span?",13-18
607,"When was the English disc jockey who hosted ""The Voice UK"" born?",18 March 1985
608,6 Interpretations included the songwriter who performed in what band from 1985 to 1995?,Requiem in White
609,"What year did the namesake of Fort Davis, Alaska die?",1879
610,"The Warlock in Spite of Himself is a science fantasy novel by American author Christopher Stasheff, published in 1969, the title is a play on the title of which French playwright and actor, known by what stage name?",Molière
611,What piece was composed in 1937 for the American Bandmasters Association and has a melody similar to Green Bushes?,Lincolnshire Posy
612,Feodor Chin voices the character of Zenyatta from a game by a developer an publisher based in what city and state?,"Irvine, California"
613,"In what year did the Britain Burma Society founded under the distinguished patronage of Earl Mountbatten of Burma, Sir Hubert Rance whose formal prefix Sir was strictly governed by law and custom as an honorific address?",1957
614,Pete Mount was the father of the American Basketball Player who was the first high school athlete on the cover of which publication?,Sports Illustrated
615,"What is the best known song of the artist who originally recorded the song ""A Thousand Times a Day""?",He Stopped Loving Her Today
616,"Of the film directors Kenji Mizoguchi and Andrzej Żuławski, which one often went against mainstream commercialism in his films?",Andrzej Żuławski
617,What Indian politician hosted a Hindi language Indian television talk show?,Smriti Malhotra
618,"Jessica, is the second single from York-based rock band Elliot Minor, the band wrote this song out of their affection for which American actress and businesswoman?",Jessica Marie Alba
619,How many people were killed by a van bomb by the man Inga Bejer Engh prosecuted in a high profile 2012 trial?,eight
620,The Jargon Society has published books by the founder and primary theorist of what group of poets?,Objectivist
621,"Restoration literature is the English literature written during the historical period commonly referred to as the English Restoration (1660–1689), which corresponds to the last years of the direct Stuart reign, it saw Locke's ""Treatises of Government"", the founding of the Royal Society, the experiments and holy meditations of Robert William Boyle, was an Anglo-Irish natural philosopher, chemist, physicist and inventor born in Lismore, County Waterford, in which location?",Ireland
622,John Martin & Co. is responsible for the pageant that has been known as what since 1996?,Credit Union Christmas Pageant
623,"Who directed Revolver, the 2005 crime thriller starring the English actor Jason Statham?",Guy Ritchie
624,What sport does Pieter Nys and Fortuna Sittard have in common?,football
625,What British comedy film starred Robin Weaver?,The Inbetweeners 2
626,Whitney Williams has a chair on the board of a non-profit with Ben Affleck and what other company?,williamsworks
627,Which painter created the 'Beguiling of Merlin' and was closely associated with the later part of the Pre-Raphaelite movement?,Edward Burne-Jones
628,Nikolaas Tinbergen shared the 1973 Nobel in Medicine with the zoologist who was of what nationality?,Austrian
629,"In what conference is the University that had a coach born on September 9th, 1960?",the Big 12 Conference
630,Oliver Boot had a role in the Moliere-based film that was first performed in what year?,1664
631,"""Your Love Had Taken Me That High"" is a song recorded by a singer that received a string of Country Music Association awards for duets with who?",Loretta Lynn
632,How far north from Salzburg is the Austrian village that shares a name with a controversial German Pilsner or pale lager?,33 km
633,The Grinch is a fictional character created by an author that died in what year?,1991
634,Were Nikos Koundouros and Curtis Hanson both film directors?,yes
635,"Qwirkle and Evo, are which type of entertainment?",game
636,What Emmy Award winner worked on Miles from Home?,Gary Sinise
637,"Who replaced the Peabody Award winner, made famous for his NPR flagship program, in 2004?",Renée Montagne
638,What show is an American-Canadian drama starring Scott Lowell playing Ted Schmidt?,Queer as Folk
639,"""HMS ""Sussex"" was an 80-gun third-rate ship, of the line of the English Royal Navy, for which sovereign state on the island of Great Britain from the 10th century—when it emerged from various Anglo-Saxon kingdoms—until 1707, when it united with Scotland to form the Kingdom of Great Britain?",Kingdom of England
640,Arthur bell as an amateur cricketer player for what league known for employing professional players.,Lancashire League
641,In what year was the woman whose former chief of staff was Rachel Noerdlinger born?,1954
642,"In regards to the album that had, according to Dave Grohl, his favourite song he has ever written, when was it released?","April 12, 2011"
643,True Williams was the first to illustrate which title character of a Mark Twain novel?,"Thomas ""Tom"" Sawyer"
644,"KKWQ-FM is a local radio station covering which area, that is a coextensive with Angle Township?",The Northwest Angle
645,"Who worked for both the Security Service and the Secret Intelligence Service, and began writing novels under his pen name, Audre Lorde or John le Carré?",David John Moore Cornwell
646,"When did the British/Irish digital television channel, which features Spliced, first launch?",22 July 2002
647,The Oxus cobra contains what kind of ions for their venom to be active?,magnesium
648,The team Kevin Goldthwaite last played for play their home games at Providence Park since what year?,2011
649,Are Naser Mestarihi and Justin Sane both singer-songwriters?,yes
650,"Abeliophyllum and Brillantaisia, are types of what?",plants
651,Which 2004 Nickelodeon show was created by Sue Rose and starred Molly Hagan?,Unfabulous
652,Charles Runnington was born in a country in southern what?,England
653,"Chris Vance, is an English actor, and is the second actor after which English actor, and a former model and competitive diver, to play Frank Martin?",Jason Statham
654,"In which school was the fictional character in ""The Simpsons"" which was voice by Marcia Wallace a teacher?",Springfield Elementary School
655,Kim Warwick and Matt Lucena both play what sport?,tennis
656,"Which author is known for her ""Anne of Green Gables"" books: Lucy Maud Montgomery or Jan Karon?",Lucy Maud Montgomery
657,Which award did the star of The Nativity Story win at the 2004 Broadcast Film Critics Association Awards?,Best Young Actor/Actress
658,La Valentina starred the actress who was the second wife of which actor?,John Wayne
659,Effie Crockett is credited with creating the song that was based on what English ballad?,Lillibullero
660,"Who was the director of the film which had ""Held"" on its soundtrack?",Stephen Frears
661,"Björn Ulvaeus was a part of a Swedish pop group, formed in Stockholm in 1972, as well as co-producer on the film ""Mamma Mia!"" with who?",Benny Andersson
662,"An American theoretical physicist who worked in particle physics and cosmology, she was also known as the Frank B. Baird, Jr., was a former guest on a podcast that was described as ""a think tank promoting science, reason, and secular values in public policy and at the grass roots""; when was that podcast started?",2005
663,What was the 2013 population of the country Fujairah College is located in?,9.2 million
664,What town sends their students to Messalonskee High School and had a population of 1010 according to the 2010 census?,Rome
665,What is the instrument played by the instrumentalist with whom Taj Mahal and N. Ravikiran made Mumtaz Mahal?,Mohan Veena (slide guitar)
666,What year saw the founding of the baseball team where Hal McRae played from 1973-87?,1969
667,What is the Soninke language meaning of the name of the democracy that is home to Kumasi Airport?,"""Warrior King"""
668,Shere Khan is a fictional Bengal tiger that was the main antagonist in Rudyard Kipling's book titled what?,The Jungle Book
669,"Biographic is a weekly comics feature by award-winning cartoonist and illustrator Steve McGarry, the feature is syndicated by Universal Uclick and appears in such publications as The Toronto Sun, an English-language daily tabloid newspaper published in Toronto, Ontario, in which country?",Canada
670,"What other country was the queen who launched Dannebrog, also a queen for between 1918 and 1944?",Iceland
671,"Makers: Women Who Make America featured an interview with what talk who host, who was dubbed the ""Queen of all Media""?",Oprah Winfrey
672,What professor of mathematics authored the book Fashionable Nonsense?,Alan Sokal
673,Mathilde Ludendorff was the wife of the German General who was victorious at which two battles?,Battle of Liège and the Battle of Tannenberg
674,"Seimas (""Sejm"", ""Sojm"", Belarusian: Сойм ) was an early parliament in the Grand Duchy of Lithuania, The Union of Lublin created a new state, the Polish–Lithuanian Commonwealth, and joined the Seimas of Lithuania with Sejm of Poland into one organization, the bicameral parliament of the Polish–Lithuanian Commonwealth is officially titled what?",Sejm of the Polish–Lithuanian Commonwealth
675,"Lee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama filmLee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama film, Mulberry, based on the eponymous classic story, by who?",Na Do-hyang
676,"Elwyn McRoy is an American college basketball coach and current men's basketball assistant coach at Coppin State University, a historically black college located in Baltimore, Maryland, in which country?",United States
677,"Who won an award first, the Brothers Quay or Alexandra Shiva?",Brothers Quay
678,"Catherine Louise Sagal (born January 19, 1954) is an American actress and singer-songwriter, she's know as well for starring in the role of Cate Hennessy, on the show ""8 Simple Rules"", is an American sitcom, originally starring who as the father?",John Ritter
679,What was the nationality of Marco Garibaldi's former partner?,American
680,A theoretical explanation of the Wien effect has been proposed by a man awarded the Nobel Prize in Chemistry in what year?,1968
681,What tribe what American Horse a part of?,"American Horse (Oglala Lakota: ""Wašíčuŋ Tȟašúŋke"" in Standard Lakota Orthography) (a/k/a ""American Horse the Elder"") (1830–September 9, 1876) was an Oglala Lakota warrior chief renowned for Spartan courage and honor."
682,"Which is located in Hunan province, Huaihua or Qitaihe?",Huaihua
683,"Which baseball player and manager was born in Ellisville, Mississippi, home of 4448 people?",Harry Francis Craft
684,Hariharan Pillai Happy Aanu contains music by which arranger from Kerala?,Stephen Devassy
685,"Xiaogan and Mingguang, are located in which country?",People's Republic of China
686,"Which was founded first, Stellenbosch University or Wayne State University?","Founded in 1868, WSU consists of 13 schools and colleges offering nearly 350 programs to more than 27,000 graduate and undergraduate students"
687,Are a Brandy Alexander and a Paloma both Tequila based?,no
688,Who is the current head coach of the basketball team for which Michael Beasley played for one year before declaring for the NBA draft in 2008?,Bruce Weber
689,"What is the nationality of the actor who starred as Rene Russo's husband in the 1997 movie ""Buddy""?",Scottish
690,"Are the bands Tool and Capital Cities both from Los Angeles, California?",yes
691,What animal subject to the Foster's rule is the smallest North American deer?,Key deer
692,Who is Yulia Zagoruychenko's dance partner?,Riccardo Cocchi
693,"In which year was this international arms smuggler who was the subject of the 2014 documentary film ""The Notorious Mr. Bout"" born?",1967
694,"What was the franchise, in which Anton Šťastný played 9 seasons, renamed after moving in 1995?",Colorado Avalanche
695,"The actor that uses the stage name ""Li Ming"" starred with Donnie Yen in a 2005 Hong Kong film directed by who?",Tsui Hark
696,"Tripel was the strongest beer in their range, in 1956, served at a Trappist brewery in what country?",Belgium
697,"What 1982 film, aired in 1983, was the seventh highest rated non-sports show and featured Kansas state highway K-10?",The Day After
698,"Tressie Souders and Padmarajan, have which occupation in common?",film director
699,"Who is an American journalist and has been Literary Editor of ""The Weekly Standard,"", Philip Terzian or Derek Sherinian",Philip Henry Terzian
700,"Who is an American musician, Peter Chelsom or Billy Bob Thornton?","""Billy Bob"" Thornton"
701,Did Terence Davies and Richard Wallace have the same nationality?,no
702,"What year was the soundtrack to the Austrian-American comedy film, directed by Stephen Herek and starring Charlie Sheen, released?",1993
703,"The author of ""Evolution: A Theory in Crisis"" is a Senior Fellow at what institute?",Discovery Institute's Center for Science and Culture
704,What college did the Chiefs all time leading rusher attend?,University of Texas
705,"When was the American rapper from Atlanta, Georgia born who's song is ""Sneakin'""?","October 22, 1992"
706,"The 1950 BRDC International Trophy included what entrant from Bourne, Lincolnshire, England?",Raymond Mays
707,"Who was born in 1976 and co-wrote the teleplay for the first episode of ""Black Mirror?""",Rashida Jones
708,"If Cheung Kong Center were to host A Symphony of Lights, what aspect of the center would be necessary to do so?",coloured lights
709,Mark Geragos was involved in the scandal that took place in what decade?,1990s
710,What town does Bucklow and Trafford have in common?,Partington
711,"What club did a Swiss footballer primarily recognised as a right-back who signed for a professional football club in 2013 based in Old Trafford, Greater Manchester, England ?",Saint-Étienne
712,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici
713,Statistician Walter Francis Willcox received three degrees from a local college in Massachusetts. Which college?,Amherst College
714,"Brisingr is the third novel in the ""Inheritance Cycle"", is a young adult tetralogy of high fantasy novels written by which American author?",Christopher Paolini
715,Rakekniven was climbed in 1996 by a mountaineer that holds which nationality ?,American
716,Who was the head coach of the Duke Blue Devils football team when they played at Wallace Wade Stadium and has won multiple college football coach of the year awards?,David Cutcliffe
717,"Dr Donald John Pinkava, is a botanist, specialising in cacti and succulents, and he is the discoverer of some of their varieties, at which public metropolitan research university on five campuses across the Phoenix metropolitan area, and four regional learning centers throughout Arizona, he has which position?",Professor Emeritus
718,Which 2017 Indian crime action film includes the song Zaalima written by Amitabh Bhattacharya?,Raees
719,Which jury member for Deutschland sucht den Superstar was an American model and choreographer born in 1957?,Bruce Darnell
720,Where was the film A Taxi Driver released?,South Korea
721,"What was a single released in 1959 and peaked at number 4 on the ""Billboard"" Hot 100, performed by an American country-influenced rock and roll duo, known for steel-string acoustic guitar playing and close harmony singing?",Till) I Kissed You
722,Have Peter Cetera and Jeremy McKinnon both been members of a band?,yes
723,"The 2010–11 Tour de Ski was the 5th edition of the Tour de Ski and took place from 31 December 2010 to which date, Swiss cross-country skier, Dario Cologna won the Men's class?",9 January 2011
724,What was the population according to the 2010 census of the census-designated place where Max Loughan created a crystal radio?,"8,777"
725,Meg is an upcoming American film staring a former what?,MTV VJ
726,What year was Curious George released along with the record company that produced the soundtrack for the movie?,2006
727,"What is a 2011 British action comedy film parodying the James Bond secret agent genre, that features a song by the band Primal Scream?",Johnny English Reborn
728,Are Ima Robot and Of Montreal music bands ?,yes
729,How long is the river on which Wilbur Dam is located?,78.5 mi
730,What is the busiest Amtrak route that does not stop at either Lortorn Station?,The Northeast Regional
731,"K. Shivaram Karanth is what type of artist, which combines dance, costum, makeup, and dialogue?",Yakshagana
732,What year were trade unions legalized in Tony Blair's country?,1871
733,"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?",Smoothie King Center
734,What is the actor who starred in School Spirit best known for?,surgeon Major Frank Burns
735,In what country is both Faxe and Heineken brewed in?,Denmark
736,What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?,"""Triple Seven"""
737,"A radio comedy broadcast on BBC Radio 4 that satirizes the week's news, in its early days featured the voice of an English comedian born in what city in 1969?",East Dulwich
738,"Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?",Bralorne
739,Portrait of Wally is a 1912 oil painting by a protégé of Gustav Klimt whose work is noted for its intensity and what?,raw sexuality
740,"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?",Immanuel College
741,"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?","March 25, 1928"
742,What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?,Apple TV
743,"Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?","2005, 2007"
744,Which part of SOKOM was formerly of the Royal Danish Army?,Jaeger Corps
745,Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?,Bell Labs
746,"What author who wrote ""Jesus' Son"" beat out Mischa Berlinksi for 2007 National Book Award?",Denis Johnson
747,What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?,United States Secretary of State
748,"Who directed the 2004 film that featured ""Más"" by Kinky?",Tony Scott
749,What king to whom Rev James MacGregor was made chaplain died in 1936?,George V
750,With which division of the Southeastern Conference the football program compete in which Damontre Lamounte Moore played college football and earned All-American honors?,Western Division
751,What is the best-seller by Ruta Sepetys?,Between Shades of Gray
752,What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?,GamePro
753,"This footballer played in the top divisions in Italy, Spain, England and Germany and is known for what?",his speed on the ball
754,"Manchester City Football Club is a football club in Manchester, England, the club moved to the City of Manchester Stadium, in Manchester, England, also known as the Etihad Stadium for sponsorship reasons, in what year?",2003
755,Both Corydalis and Cedrus are what level of classification in the naming system?,genus
756,Have James Agee and Nelly Sachs both won a Nobel Prize in Literature?,no
757,"On which station could you have watched the actor from ""My Fair Lady"" play a character in ""I Can Hear Your Voice""?",SBS
758,"Allkpop is a blog based in what Bergen County, New Jersey borough?",Edgewater
759,What award did a single from the first Foo Fighters album to feature Chris Shiflett win?,Grammy Award
760,"Moment by Moment was from the movie that starred which actress, comedian, and producer?","Mary Jean ""Lily"" Tomlin"
761,Reagan and Give Us Our Skeletons were both which kind of films?,film
762,"Which film director is younger, Del Lord or Wang Xiaoshuai?",Del Lord
763,"The Messerschmitt Me 263 ""Scholle"" (plaice) was a rocket-powered fighter aircraft developed from the Me 163 ""Komet"" towards the end of, which historic event?",World War II
764,"What music magazine ran from 1942 to 2008 and had a compilation album ""The Wild Bunch"" in 1984?",Hit Parader
765,"Hunter Mountain is the second highest peak in the Catskills, in the south east area of which U.S. State?",New York
766,"Are Fuling District and Qidong, Jiangsu both located in China?",yes
767,"What dancer who died August 9, 2003 appeared in White Nights?",Gregory Hines
768,"Steve Jones and Blag Dahlia, have which occupation in common?",singer
769,Diane Roark was wrongly suspected of leaking information to a New York Times reporter that has co-written two books about what agency?,Central Intelligence Agency
770,Alain Fossoul played this position whose primary role is to prevent the opposing team from what,scoring goals
771,The national flag of Ghana designed by Theodosia Okoh was adopted in which year?,1957
772,Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?,Serj Tankian
773,"Which institute is this American football coach currently serving as head coach, who led 2013 Boise State Broncos football team?",University of Washington
774,"Blondie is an American rock band founded by singer Debbie Harry, and guitarist Chris Stein, the band achieved several hit singles including which song by the American pop rock band Blondie, from their fifth studio album, ""Autoamerican"" (1980)?",Rapture
775,"This American actor who starred in ""Veep"" was also in an action comedy film directed by Seth Rogen and Evan Goldberg heavily inspired by what?",a Vice documentary
776,Are Shenandoah Valley Regional Airport and Santa Barbara Municipal Airport both in the United States?,yes
777,"What is the name of the Tindersticks' soundtrack for which the film, written by Denis and Jean-Pol Fargeau, is also named?",Trouble Every Day
778,"What is the given name of the creator of the Album released on July 7, 2017 by Slaughter Gang and Epic Records?",Shayaa Bin Abraham-Joseph
779,What album did a Danish-born Montenegrin singer born in 1971 release in late spring 2008?,Kosači
780,Terry Pratchett's The Colour of Magic starred which star of Only Fools and Horses?,Sir David John White
781,"For which film did, the composer who scored the music for Interview with the Vampire, win the Academy Award ?",Frida
782,Which British politician from Northern Ireland who is a Democratic Unionist Party Member of Parliament for East Antrim represents the constituency known as East Antrim?,Sammy Wilson
783,"Doloroso, Mississippi rests on the US highway that runs for how many miles?",1400 mi
784,What type of a scholar was the rabbi who asked Rabbi Dovid Povarsky to join the previous two heads of the institute?,Torah and Talmudic scholar
785,"A Suitable Girl is an upcoming novel by Vikram Seth, which is a sequel to his 1993 book ""A Suitable Boy"", Vikram Seth ( born June 20, 1952) is an Indian novelist and what ?",poet
786,"Produced by Jay Joyce, Celabraison is the debut album for which band?",Sleeper Agent
787,The university where Peter Charanis was the Voorhees Professor of History is in what state?,New Jersey
788,"Cohousing is a community designed around a shared space, an example being Sættedammen in which country?",Denmark
789,"Which television show premiered in 2008 and featured a contestant who previously starred in ""Hannah Montana""?",Dancing with the Stars
790,What is the name of the 3 Michelin Star Restaurant that is located in the second largest hotel in the United States?,Joël Robuchon
791,Who founded the knighthood in which Gino Cassinis was part of?,Luigi Einaudi
792,In what year was the actor who played Nathan Appleby in The Living and the Dead born?,1986
793,The ancient Roman town near Fusaro Lake is now the commune of what?,Bacoli
794,Do Frank Pepe Pizzeria Napoletana and Sarpino's Pizzeria both sell pizza?,yes
795,The former 10th congressional district of Minnesota is now currently represented by whom in the US House of Representatives?,Erik Paulsen
796,Was Howard Hawks a screenwriter of more productions than Arthur Berthelet,yes
797,The 2017 Supercheap Auto Bathurst 1000 will be held at the racing track with what two official names?,Mount Panorama and Wahluu
798,"Which original attraction at Universal Studios Florida, featuring Yogi Bear and Boo Boo, was replaced by Jimmy Nuetron's Nicktoon Blast?",The Funtastic World of Hanna-Barbera
799,Roy Browns running mate in the 2008 Montana gubernatorial election won his current senate seat by defeating what democrat?,Amanda Curtis
800,Dumb Flesh is the third album by whom?,Blanck Mass
801,Are both the Aşiyan Museum and Sultan Ahmed Mosque located in Istanbul?,yes
802,"Who was the drummer for the recording of ""The Man Who Sold the World"" released in the US in 1970?",Mick Woodmansey
803,"What South Korean singer-songwriter, actor, writer, and fashion designer, was in the rock band F.T. Island that released their 5th album The Mood?",Lee Hong-gi
804,What major Albanian musical event did Aurela Gaçe win?,Kënga Magjike
805,"Leigh Silverman was nominated for the 2014 Tony Award, Best Direction for a musical based on which short story ?",The Ugliest Pilgrim
806,"In what year was the English actor that starred with David Hemmings and Douglas Wilmer in ""Unman, Wittering and Zigo"" born?",1945
807,"Which Scottish singer, songwriter, and guitarist included calypso music in his influences and wrote the song Hey Gyp?",Donovan
808,Who directed the 2013 slasher film that Alexandra Daddario starred in?,John Luessenhop
809,The Abbey of Saint-Étienne was founded by a descendant of who?,Rollo
810,What nationality are Ralph Tresvant and Chad Smith?,American
811,"When did the company that produced ""Six Gates Far Away Mon Colle Knight"" begin?",in 1986
812,Where does this Argentine sports club currently compete that Augusto Solari currently is a professional footballer for?,Primera División
813,"who voiced the cartoon character in the animated television series which , Pablo Aurrecochea wears kits adorned with its cartoon characters",Dan Castellaneta
814,Jordan Fished played the role of John Laurens in which Broadway production?,Hamilton
815,What is the name of the business that George Dayton founded and later Bruce Dayton expanded?,Target Corporation
816,"Arlette Roxburgh is best known for singing a national anthem whose lyrics come from what poem, before every New Jersey Devils home game?",Defence of Fort M'Henry
817,Márcio Borges was from the second most populous municipality in what country?,Brazil
818,A Mars crater is named after the successor of who?,John Flamsteed
819,Which 2004 novel by Judith Guest recounts the murder committed by John Norman Collins known as the Michigan Murders?,The Tarnished Eye
820,Where is a place that has both Lano Estacado and Buda Limestone geological formations?,High Plains
821,Do Danny Shirley and James Dean Bradfield play in the same band?,no
822,What is the country whose capital and largest city is the birth place of this American musician and record producer Tomo Miličević?,Bosnia and Herzegovina
823,"On which television show does Katie Cassidy play the fictional character, Ruby?",Supernatural
824,What British man was was wrongly convicted of murdering Jill Dando?,Barry George
825,"In what year was the author of ""Trading Christmas"" born?",1948
826,"Which is the progenitor of the dingo, the Indian pariah dog or the Anglo-Français de Petite Vénerie?",Indian pariah dog
827,What American luxury jewelry and specialty retailer did Jean Michel Schlumberger work at?,Tiffany & Company
828,How many stored does the American fast food restaurant franchise that sponsored Subway 400 have?,"45,000"
829,"What British rock band is responsible for bolstering Quiet Riot's hit ""Mental Health?""",Slade
830,What mosaic inside the main church of Florence is attributed to Gaddo Gaddi?,Coronation of the Virgin
831,The boxer that won the silver medal in the men's super heavyweight event at the 2016 Summer Olympics was born in what year?,1985
832,What country are K. R. Kaushik and Narendra Modi from?,India
833,Both Martha Stewart Living and Tall Timber Short Lines are considered what?,magazine
834,"Which was around longer in 2010, Miss Universe or Miss Perú?",Miss Universe
835,The company that manufactured PDQ Chocolate is a registered trademark of what company?,Associated British Foods
836,What is the name of the widow of the earl who served as both Foreign Secretary and Prime Minster from 1955 to 1957?,Anne Clarissa Eden
837,Former player Darius Maskoliūnas coaches for which of the oldest Lithuanian basketball teams?,Žalgiris Kaunas.
838,"""From Eden"" is a number 2 song from the Irish Singles Chart that came from what album that was released on September 19th?",Hozier
839,Who is this retired American politician who was a U. S. representative of Oklahoma's 2nd Congressional District whom Oklahoma politician Jim Wilson ran against during the July 27 Democratic primary?,Dan Boren
840,"What Famous play by shakespear have the phrase, ""Et tu, Brute""?","Shakespeare's play ""Julius Caesar"""
841,Frederic de Hoffmann assisted which Hungarian-American physicist in the development of the hydrogen bomb?,Edward Teller
842,"The metafamily of graphical operating systems developed, marketed, and sold by Microsoft offers what kind of help to musicians?",software for singing training
843,What character did Pam Ferris play in the film based on a J.K Rowling novel?,Aunt Marge
844,The Office of the Federal Register is an office of the United States government within which independent agency of the United States government charged with preserving and documenting government and historical records?,National Archives and Records Administration
845,"From which Metallica album does the song, used by Niels de Ruiter as walk-on music, come?",Metallica
846,To which film category are both Call Me Kuchu and That's Dancing! belong?,documentary film
847,In which films does Disha Patani who starred in M.S. Dhoni: The Untold Story appear?,Hindi and Telugu films
848,"Johanna Veenstra (1894–1933) was the first missionary of the Christian Reformed Church (CRC) to go to Nigeria,  was an ocean liner designed by Leonard Peskett and built by Swan, Hunter & Wigham Richardson for the British Cunard Line, on October 2, 1919, she left New York City on the RMS Mauretania, was an ocean liner designed by Leonard Peskett, and built by Swan, Hunter & Wigham Richardson, for which organization?",British Cunard Line
849,"Who was born first, Tanya Donelly or Trace Cyrus?",Tanya Donelly
850,"Are the bands ""Halestorm"" and ""Say Anything"" from different states?",yes
851,The Crocs River is a tributary of a river given what nickname?,"""Rhine of North America"""
852,Were Serguei Kouchnerov and Arvid E. Gillstrom both in the same industry?,yes
853,Are Clarence Brown and Peter Glenville of the same nationality?,no
854,"The 2003 Seattle Seahawks season was the team's 28th season with the National Football League, following the season, which Hall of Fame defensive tackle who played for the Minnesota Vikings, retired?",John Anthony Randle
855,"""Yaamirukka Bayamey"" is based on which 1998 Korean film directed by Kim Jee-woon?",The Quiet Family
856,"Between the two musicians, Peter Garrett and Ryo Kawakita, who has had more diverse job experiences?",Peter Robert Garrett
857,"What band from Savannah, Georgia did the singer singer John Dyer Bailey sing for?",Baroness
858,How long was the Underdog show presented by an English comedian Julian Clary?,six-week television series
859,What kind of activity are the niche-themed products Bookchase and San Marco?,board game
860,"Born on the Fourth of July is a 1989 American biographical war drama film based on the best-selling autobiography of the same name by which Vietnam War veteran, and an American anti-war activist, writer, and former United States Marine Corps sergeant, who was wounded and paralyzed?","Ronald Lawrence ""Ron"" Kovic"
861,What year was the composed of Lux Aurunque born?,1970
862,On which novel is the 1965 film with a character Agent Zeke Kelso based?,Undercover Cat
863,What Franklin county town did Bruce Bryant represent?,Jay
864,"During Which debt crises did PIGS used to refer to the economies of Portugal, Ireland, Greece, and Spain, four EU member states",The European debt crisis
865,"Which series aired first, Auction Kings or Pawn Stars?",Pawn Stars
866,Were both Ted Tetzlaff and David Siegel film actors?,no
867,What film title does J. F. Lawton and Shawn Levy have in common?,producer
868,Jolen is a member of the race of what type of people created by Marvel Comics?,superhumans
869,What is the name of the album that was released by David Bowie that was recorded in secret?,Blackstar
870,What year was the Montgomery based school that Mabel Murphy Smythe-Haith's father taught at founded?,1867
871,"As of 2016, which band released more albums, The Last Shadow Puppets or The Classic Crime?",The Classic Crime
